listing_name,categories,seniority,required_skills
senior big data engineer / team leader,data,senior,"['big data', 'cloud', 'scala', 'spark', 'python', 'airflow', 'jvm', 'docker', 'kubernetes', 'kafka']"
data engineer,data,mid,"['python', 'grafana', 'mongodb', 'sql server', 'postgresql']"
senior python developer,python,senior,"['python', 'databases', 'cloud development', 'english', 'docker', 'analytical thinking']"
voicebot dialogue developer,other,junior,"['python', 'java', 'sql']"
python developer,python,mid,"['django', 'python', 'drf', 'postgresql', 'celery', 'docker', 'kubernetes']"
regular / senior data scientist,data,mid,"['python', 'machine learning', 'statistics', 'numfocus stack', 'spark', 'scala', 'r']"
senior python developer,python,senior,"['python', 'django', 'flask', 'fastapi', 'asyncio']"
qa engineer,python,senior,"['mobile app testing', 'python', 'atlassian', 'testrail', 'agile', 'appium', 'istqb']"
devops engineer,devops,mid,"['devops tools', 'kubernetes', 'google cloud platform', 'python', 'go']"
mid azure data engineer,data,mid,"['azure data lake', 'azure synapse analytics', 'azure data factory', 'spark / pyspark / python', 'sql', 'azure databricks', 'azure stream analytics', 'azure event hub', 'git/svn', 'data streaming and kafka']"
data engineer with azure,devops,senior,"['azure', 'python', 'spark', 'scala', 'ci/cd', 'sql']"
inynier systemowy,admin,mid,"['gnu / linux', 'postgresql', 'docker', 'tcp/ip', 'sql', 'bash', 'python']"
data transformation consultant,data,mid,"['sql', 'python', 'pyspark', 'apache spark', 'databricks', 'palantir foundry', 'jira', 'confluence', 'git', 'docker']"
devops engineer,devops,senior,"['s-sdlc', 'ci/cd', 'jenkins', 'snyk', 'sonarqube', 'kubernetes', 'argo', 'python']"
advanced analytics consultant,analytics,senior,"['analytics', 'python', 'r', 'sql', 'sas', 'data', 'databricks', 'aws', 'azure', 'gcp']"
devops tech lead,devops,senior,"['saas', 'kubernates', 'cloud', 'team management', 'k85', 'ci/cd', 'python']"
python developer,python,mid,"['python', 'django', 'git', 'jira', 'sql', 'nosql']"
lead data eng for ml advanced analytics,data,senior,"['python', 'aws stack', 'sql', 'apache nifi']"
data visualization consultant all levels,data,mid,"['data', 'power bi', 'sql', 'qliksense', 'tableau', 'rpa', 'sap', 'scala', 'java', 'python']"
python developer (exp. medical devices),python,senior,"['python or javascript', 'django or next.js', 'medical device industry', 'c or similar', 'react', 'd3.js', 'ux & ui']"
tester/ka manualny/a,testing,mid,"['sql', 'redmine', 'jira', 'postman', 'soapui', 'python', 'java', 'selenium']"
embedded qa engineer with python,python,mid,"['python', 'embedded', 'test automation', 'pytest']"
python developer z chemi / biologi,python,mid,"['polish', 'english', 'python', 'django', 'chemistry', 'biology', 'flask', 'react', 'angular', 'docker']"
senior linux administrator,admin,senior,"['linux', 'bash', 'python', 'cloud']"
