listing_name,categories,seniority,required_skills
 Software Engineer (DevOps with AWS) ,devops, Mid ,"[' Python ', ' Jenkins ', ' Artifactory ', ' Linux ', ' Virtualization ', ' Docker ', ' Git ', ' CI/CD Pipelines ', ' Node.js ', ' TypeScript ', ' AWS ', ' Gradle ', ' SDLC ', ' Ansible ', ' Terraform ', ' Groovy ', ' IAM ', ' AWS EC2 ', ' AWS Lambda ', ' AWS CloudFormation ', ' AWS S3 ', ' AWS DynamoDB ', ' API Gateway ', ' Route53 ', ' SQS ', ' Amazon SQS ', ' SNS ', ' VPC ', ' Amazon CloudWatch ']"
 Python Developer with AWS ,python," Mid, Senior ","[' Python ', ' AWS ', ' AWS EC2 ', ' API Gateway ', ' AWS Lambda ', ' AWS S3 ', ' CI/CD ', ' NoSQL ', ' DevOps ', ' React ', ' Vue.js ']"
 DevOps Engineer ,devops," Mid, Senior ","[' AWS ', ' Google cloud platform ', ' C++ ', ' Python ', ' Bash ', ' JavaScript ', ' VR ', ' Blockchain ']"
 System Engineer for Jira&Ansible Tower ,admin, Mid ,"[' Python ', ' JavaScript ', ' Linux ', ' Tomcat ', ' ITIL ', ' C# ', ' Azure ', ' REST API ', ' LDAP ', ' Cloud ']"
 Full Stack Developer (Python + Vue) ,python, Mid ,"[' Python ', ' Vue.js ', ' Vuex ', ' pytest ', ' AWS ', ' Cloud ', ' TypeScript ', ' Vuetify ', ' NumPy ', ' pandas ']"
 Senior Python developer ,python, Expert ,"[' Python ', ' SQL ', ' REST API ', ' Docker ', ' Git ', ' Linux ', ' ORM ', ' CI/CD ', ' Machine learning ', ' PostgreSQL ', ' SQLAlchemy ', ' Celery ', ' Flask ', ' GCP ', ' AWS ']"
 Remote mid/senior Python Dev | may team ,python, Senior ,"[' Python ', ' Django ', ' Linux ', ' Git ', ' JavaScript ', ' CSS ', ' HTML ', ' DevOps ', ' AWS ', ' Elasticsearch ', ' PostgreSQL ', ' Redis ']"
 Machine Learning Researcher ,data," Senior, Expert ","[' Python ', ' Machine learning ', ' TensorFlow ', ' Scala ', ' Java ', ' PyTorch ', ' NumPy ', ' pandas ', ' Deep learning ']"
 Python Backend Developer ,python," Mid, Senior ","[' Python ', ' Linux ', ' REST ', ' AWS ', ' Selenium ', ' Docker ', ' CI/CD Pipelines ', ' Grafana ', ' Elasticsearch ', ' Kibana ', ' InfluxDB ']"
 Middle/Senior AQA Embedded Engineer  ,testing," Mid, Senior ","[' Python ', ' Robot Framework ', ' pytest ', ' QA ', ' Go ', ' SSL ', ' Protocols ', ' Bash ', ' Golang ']"
 Senior Data Modeler ,data, Senior ,"[' SQL ', ' ETL ', ' Python ', ' Azure Cloud ', ' Snowflake ', ' Data modeling ']"
 Principal Engineer ,python," Senior, Expert ","[' Python ', ' AWS ', ' Django ', ' Django REST Framework ', ' Project management ', ' Process management ', ' Attention to detail ', ' Coaching Skills ', ' Quality control ']"
 Remote Junior Machine Learning Engineer ,analytics, Junior ,"[' Python ', ' SQL ', ' Problem solving ', ' Analytical skills ', ' AI ', ' Good coding skills ', ' Machine Learning ', ' IoT ', ' JavaScript ', ' JavaScript programming ']"
 QA Engineer ,testing," Mid, Senior ","[' Python ', ' C# ', ' Java ', ' C++ ', ' JavaScript ', ' Selenium ', ' Cucumber ', ' Kafka ', ' AWS ', ' Azure ']"
 Software and Test Engineer ,testing," Mid, Senior ","[' Python ', ' Linux ', ' Vector ', ' NI ', ' Labview ']"
 Test Automation Engineer ,testing," Mid, Senior ","[' Selenium ', ' Java ', ' JavaScript ', ' Python ', ' C# ']"
 Google Cloud/GCP Developer ,devops," Mid, Senior ","[' GCP ', ' Docker ', ' DevOps ', ' C# ', ' Python ', ' Big Data ', ' SQL ', ' HBase ', ' Elasticsearch ', ' Software-as-a-Service ']"
 Senior Data Scientist ,other," Senior, Expert ","[' Python ', ' Git ', ' pandas ', ' scikit-learn ', ' PostgreSQL ', ' REST ', ' GitHub ', ' Linux ', ' AWS Cloud ', ' Jupyter Notebook ', ' AWS SageMaker ', ' MLOps ']"
 MID/SEN Python Developer ,python," Mid, Senior ","[' Python ', ' AWS ', ' Flask ', ' Proactivity ', ' JavaScript ', ' React ', ' Node.js ', ' Leadership skills ', ' DevOps ', ' CI/CD ', ' Data analytics ']"
 Lead Python Engineer ,python, Expert ,"[' Python ', ' Git ', ' Docker ', ' REST ', ' NoSQL ', ' SQL ', ' Cloud ', ' Design Patterns ', ' TDD ', ' BDD ', ' DDD ', ' CI/CD ']"
 Programista Infrastrultury ,devops, Mid ,"[' Python ', ' REST API ', ' SOAP ', ' GitHub ', ' GitLab ', ' Bitbucket ', ' CI/CD ', ' Jenkins ', ' TeamCity ', ' Docker ', ' Kubernetes ', ' Ansible ', ' Terraform ', ' OpenShift ', ' VMware ', ' DevOps ', ' SRE ']"
 Senior Azure Developer ,python, Senior ,"[' .NET ', ' C# ', ' CI/CD ', ' Azure ', ' Design Patterns ', ' REST API ', ' Docker ', ' Kubernetes ', ' DevOps ', ' PaaS ', ' Service Bus ', ' IaaS ', ' SaaS ', ' API Gateway ', ' WAF ', ' Blob Storage ', ' Cosmos DB ', ' Azure Data ', ' AKS ', ' SDLC ', ' Python ', ' PowerShell ', ' UI ']"
 Remote DevOps Engineer z AWS ,devops, Mid ,"[' DevOps ', ' AWS Cloud ', ' Python ', ' Terraform ', ' Kubernetes ', ' CI/CD Pipelines ', ' Docker ', ' PostgreSQL ', ' Jenkins ']"
 Lead ML Developer Researcher ,data," Senior, Expert ","[' AWS ', ' Machine learning ', ' Python ', ' Docker ', ' GitLab CI ', ' Azure ', ' AI ', ' Machine Learning ', ' PyTorch ', ' MLflow ', ' GitLab ', ' CI/CD ', ' MLOps ']"
 Remote Senior Site Reliability Engineer ,devops, Senior ,"[' Kubernetes ', ' Docker ', ' OOP ', ' C# ', ' Java ', ' PowerShell ', ' Python ', ' IaC ', ' Ansible ', ' Terraform ', ' IaaS ', ' PaaS ', ' AWS ', ' GCP ', ' DNS ', ' Nginx ', ' Linux ', ' Prometheus ', ' Grafana ', ' Git ', ' PostgreSQL ', ' Kafka ', ' Elasticsearch ']"
 Mid DevOps / Cloud AWS Engineer ,devops, Mid ,"[' AWS ', ' Python ', ' CI/CD ', ' Kubernetes ', ' DevOps ', ' Java ', ' C ', ' C++ ', ' Docker ', ' CI/CD Pipelines ', ' Azure ', ' GCP ', ' Windows ', ' Terraform ', ' CloudFormation ', ' Ansible ', ' Bash ', ' Perl ', ' Ruby ', ' Linux ']"
 Junior Web Developer (React/Django) ,python, Junior ,"[' JavaScript ', ' Git ', ' Linux ', ' Python ', ' Bash ', ' AWK ', ' HTTP ', ' REST API ', ' React ', ' Webpack ', ' TypeScript ', ' Functional programming ']"
 Technical Data Steward  ,data, Mid ,"[' Python ', ' SQL ', ' Collibra ', ' BigQuery ', ' ETL ', ' Governance ', ' Data management ', ' Data governance ', ' Excel ']"
 Senior Python Developer ,python, Senior ,"[' Python ', ' Django ', ' CI/CD ']"
 REMOTE DevOps Engineer - AWS/Azure ,devops," Mid, Senior ","[' Jenkins ', ' Docker ', ' Kubernetes ', ' Python ', ' DevOps ', ' Azure ', ' AWS ', ' Ansible ', ' Go ', ' Bash ']"
 Senior Python Developer ,python," Mid, Senior ","[' Python ', ' Docker ', ' Azure ']"
 Senior Data Engineer ,data, Senior ,"[' ETL ', ' Snowflake ', ' Oracle ', ' AWS ', ' Kafka ', ' SQL ', ' Python ', ' Java ', ' Spark ']"
 DevOps Engineer ,devops," Mid, Senior ","[' Python ', ' Kubernetes ', ' Docker ', ' Bash ', ' Azure ', ' Java ']"
 Mid/Senior Python Backend Developer ,python," Mid, Senior ","[' Python ', ' Django ', ' Docker ', ' Git ', ' GitLab ', ' Celery ', ' PostgreSQL ', ' Conda ', ' scikit-learn ', ' OpenCV ', ' PyTorch ', ' Keras ', ' TensorFlow ']"
 Backend Python Developer ,python," Mid, Senior ","[' Python ', ' Bash ', ' AWS ', ' Docker ', ' Kubernetes ', ' Machine Learning ', ' AI ', ' Deep learning ', ' DevOps ']"
