listing_name,categories,seniority,required_skills
SR Data Engineer,data,senior,"['SQL', 'Python', 'AWS']"
Trainee Software Engineer,java,junior,"['Java', 'Python']"
Programista C/C++,c,mid,"['C', 'C++', 'Linux/Windows', 'GNU', 'Python', 'Shell']"
Remote Senior Python Developer,python,senior,"['Python', 'Django', 'Linux', 'Cloud Computing', 'CI/CD', 'Docker']"
Senior Data Engineer,data,senior,"['Python', 'MongoDB', 'AWS', 'Backend', 'Elasticsearch', 'Redshift', 'RabbitMQ', 'Docker']"
Azure DevOps Engineer,devops,senior,"['Azure', 'Azure DevOps', 'Terraform', 'Ansible', 'Docker', 'Kubernetes', 'Python/Powershell/Bash', 'SonarQube']"
Junior DevOps Engineer (Wroc³aw/okolice),devops,junior,"['Bash', 'Linux', 'Python', 'Continuous Integration', 'Continuous Delivery']"
Python Engineer (Mid or Senior),python,senior,"['Python', 'English', 'SQL', 'AWS', 'REST API']"
Python Developer,python,mid,"['Python', 'Git', 'English']"
Senior Big Data Engineer / Team Leader,data,senior,"['Big Data', 'Cloud', 'Scala', 'Spark', 'Python', 'Airflow', 'JVM', 'Docker', 'Kubernetes', 'Kafka']"
Data Engineer,data,mid,"['Python', 'Grafana', 'MongoDB', 'SQL Server', 'PostgreSQL']"
Senior Python Developer,python,senior,"['Python', 'Databases', 'Cloud Development', 'English', 'Docker', 'Analytical Thinking']"
VoiceBot Dialogue Developer,other,junior,"['Python', 'Java', 'SQL']"
Python Developer,python,mid,"['Django', 'Python', 'DRF', 'PostgreSQL', 'Celery', 'Docker', 'Kubernetes']"
Regular / Senior Data Scientist,data,mid,"['Python', 'Machine Learning', 'Statistics', 'NumFOCUS stack', 'Spark', 'Scala', 'R']"
Senior Python Developer,python,senior,"['Python', 'Django', 'Flask', 'fastapi', 'asyncio']"
Backend Developer (GO),go,mid,"['Go', 'Python', 'Git']"
QA Engineer,python,senior,"['Mobile App Testing', 'Python', 'Atlassian', 'TestRail', 'Agile', 'Appium', 'ISTQB']"
DevOps Engineer,devops,mid,"['DevOps tools', 'Kubernetes', 'Google Cloud Platform', 'Python', 'Go']"
Mid Azure Data Engineer,data,mid,"['Azure Data Lake', 'Azure Synapse Analytics', 'Azure Data Factory', 'Spark / pySpark / Python', 'SQL', 'Azure Databricks', 'Azure Stream Analytics', 'Azure Event hub', 'Git/SVN', 'Data Streaming and Kafka']"
Staff Backend Engineer (Golang),go,senior,"['Go/C/C++/Python', 'Microservices', 'Linux', 'PostgreSQL', 'AWS', '.Net']"
Data Engineer with Azure,devops,senior,"['Azure', 'Python', 'Spark', 'Scala', 'CI/CD', 'SQL']"
In¿ynier Systemowy,admin,mid,"['GNU / Linux', 'PostgreSQL', 'Docker', 'TCP/IP', 'SQL', 'Bash', 'Python']"
Data Transformation Consultant,data,mid,"['SQL', 'Python', 'PySpark', 'Apache Spark', 'Databricks', 'Palantir Foundry', 'JIRA', 'Confluence', 'Git', 'Docker']"
DevOps Engineer,devops,senior,"['S-SDLC', 'CI/CD', 'Jenkins', 'Snyk', 'SonarQube', 'Kubernetes', 'Argo', 'Python']"
Advanced Analytics Consultant,analytics,senior,"['Analytics', 'Python', 'R', 'SQL', 'SAS', 'Data', 'Databricks', 'AWS', 'Azure', 'GCP']"
DevOps Tech Lead,devops,senior,"['SaaS', 'kubernates', 'Cloud', 'Team Management', 'K85', 'CI/CD', 'Python']"
Python Developer,python,mid,"['Python', 'Django', 'Git', 'JIRA', 'SQL', 'NoSQL']"
Lead Data Eng for ML Advanced Analytics,data,senior,"['Python', 'AWS stack', 'SQL', 'Apache Nifi']"
Data Visualization Consultant all levels,data,mid,"['Data', 'Power BI', 'SQL', 'QlikSense', 'Tableau', 'RPA', 'SAP', 'Scala', 'Java', 'Python']"
Python Developer (exp. medical devices),python,senior,"['Python or JavaScript', 'Django or Next.js', 'medical device industry', 'C or similar', 'React', 'D3.js', 'UX & UI']"
Tester/ka Manualny/a,testing,mid,"['SQL', 'Redmine', 'JIRA', 'Postman', 'SoapUI', 'Python', 'Java', 'Selenium']"
Embedded QA Engineer with Python,python,mid,"['Python', 'Embedded', 'Test Automation', 'pytest']"
C# Developer with React,net,mid,"['C#', 'React', '.Net', 'PostgreSQL', 'Python', 'PHP']"
Python Developer z Chemi¹ / Biologi¹,python,mid,"['Polish', 'English', 'Python', 'Django', 'Chemistry', 'Biology', 'Flask', 'React', 'Angular', 'Docker']"
Mid Software Developer,c,mid,"['Embedded', 'C', 'Linux', 'Networking TCP/IP', 'Ethernet/AVB', 'Python', 'Git', 'Wireshark']"
Senior Linux Administrator,admin,senior,"['Linux', 'Bash', 'Python', 'Cloud']"
DevOps Engineer - Internal Project,devops,mid,"['Cloud', 'CI/CD', 'Virtualization', 'Git', 'Linux', 'Kubernetes', 'Bash', 'Python', 'Docker']"
Data & BI Developer,data,senior,"['T-SQL', 'Microsoft Power BI', 'ETL', 'Azure', 'Python', 'DAX', 'Azure Analysis Services', 'Azure Databricks', 'Synapse Analytics', 'Data Factory']"
Data Scientist,data,mid,"['Python', 'R', 'SQL', 'Deep Learning', 'Machine Learning']"
Senior Python Developer,python,senior,"['Python', 'Docker', 'Kubernetes']"
Machine Learning Engineer,python,mid,"['PyTorch', 'Python', 'Deep Learning', 'Git', 'Docker', 'Linux', 'Machine Learning', 'Kubernetes', 'Computer Vision', 'OpenCV']"
Senior Python Developer,python,senior,"['Python', 'PostgreSQL', 'English', 'fastapi', 'Java', 'JavaScript', 'Go']"
Senior Python Developer,python,senior,"['Python', 'Software Design', 'English', 'AWS']"
Client Solutions Engineer,python,mid,"['Software Design', 'English', 'Python', 'AWS']"
Graduate QA Engineer,testing,junior,"['Linux', 'Python', 'Test Automation', 'Java', 'Analytics', 'Testing', 'Networking', 'Bash']"
Python Tech Lead,python,senior,"['Python', 'Amazon AWS', 'CI/CD', 'Agile', 'GraphQL', 'DDD']"
Full-stack Developer,ruby,senior,"['Ruby on Rails', 'Node.js', 'ReactJS', 'AWS', 'C#', 'Java', 'PHP', 'Python', 'Angular', 'Redux']"
Python Developer,python,mid,"['Python 3.x', 'PostgreSQL', 'SQLAlchemy', 'Flask', 'GraphQL', 'Event sourcing']"
C# Developer (mid/regular),net,mid,"['.Net', 'C#', 'ASP.NET Web API', 'WPF', 'DevExpress', 'SQL', 'JavaScript', 'Python']"
Freelance QA Automation Engineer,testing,senior,"['English', 'Python', 'Test Automation', 'Appium or pytest']"
System Administrator,admin,mid,"['Linux', 'Python', 'Shell', 'English', 'AWS', 'Docker', 'Jenkins', 'NGINX', 'Azure', 'Salt']"
Remote Senior Data Engineer,python,senior,"['Python', 'ETL', 'ETL tools', 'Databases', 'ML', 'Data', 'NoSQL', 'Cloud']"
Software Developer C/C++,c,mid,"['C++', 'Linux', 'Python']"
Python Developer (Remote),python,mid,"['English', 'Polish', 'Python', 'SQL', 'Django', 'Docker', 'Flask', 'Google Cloud', 'OpenCV', 'Pandas']"
Praktyki Automation Developer,support,junior,"['Java', 'Python', 'JavaScript']"
Mid Python Developer,python,mid,"['Git', 'GitFLow', 'Django', 'Django Rest Framework', 'Docker', 'Flask', 'Kubernetes', 'GraphQL', 'Blockchain']"
"Junior Data Engineer (Communication, Media & Technology)",data,junior,"['Azure', 'AWS', 'GCP', 'SQL', 'Python']"
DevOps (Data Analytics),devops,senior,"['Python', 'Elasticsearch']"
"Senior Engineering Manager, Merchant Ser",python,senior,"['Python', 'JIRA', 'Kotlin', 'GitHub', 'Kibana']"
Software Engineer (Merchant Servicing),python,mid,"['Python', 'Kotlin', 'React']"
Application Security Engineer,security,mid,"['AppSec', 'WebSec', 'NetSec', 'Go', 'Python', 'Ruby']"
Lead Data Engineer,data,senior,"['ETL', 'ELT', 'SQL', 'Python']"
Senior Research Scientist,data,senior,"['Python', 'Deep Learning', 'Machine Learning', 'NLP']"
Automation Engineer,testing,mid,"['VBS', 'Powershell', 'C#', '.NET Core', 'PostgreSQL', 'Python', 'Azure']"
Data Scientist,data,mid,"['SQL', 'Python', 'Business Analysis']"
CyberSecurity Engineer,python,mid,"['Python', 'JavaScript', 'PostgreSQL']"
Information Security Analyst (CSIRT),security,senior,"['Python', 'Bash', 'Perl', 'Powershell', 'SIEM', 'GIAC', 'OSCP']"
DevOps Engineer,devops,mid,"['JavaScript', 'Python', 'Dart']"
Quality Assurance Engineer,python,mid,['Python']
